review,rating,tanggal,sentimen,review_clean,text_final
"buka app shopee jangan langsung arahkan ke video default, berat app ini. g99 saja gak kuat",1,2026-04-15 03:19:05,Negatif,buka app shopee jangan langsung arahkan ke video default berat app ini g saja gak kuat,buka jangan langsung arah video default berat kuat
woi shopee Klo mesen shopeefood jgn cepet bgt lah ga bisa dicancel lagi.,1,2026-04-15 03:18:31,Negatif,woi shopee klo mesen shopeefood jgn cepet bgt lah ga bisa dicancel lagi,woi klo mesen shopeefood jgn cepet banget dicancel
ol,5,2026-04-15 03:15:01,Positif,ol,ol
"no, m m wx kj mi faas. , )9)3 km. no mm waiisk mm m ada mk 🤩zz e .nnjaww aaaabs xe Nn di a no mm",4,2026-04-15 03:14:31,Positif,no m m wx kj mi faas km no mm waiisk mm m ada mk zz e nnjaww aaaabs xe nn di a no mm,no wx kj mi faas km no mm waiisk mm mk zz nnjaww aaaabs xe nn no mm
Trmksh barang barang udh di terima,5,2026-04-15 03:12:59,Positif,trmksh barang barang udh di terima,trmksh barang barang terima
6 di mana TV m,1,2026-04-15 03:11:23,Negatif,di mana tv m,mana tv
biaya pengiriman murah belanja aman dengan shopee,5,2026-04-15 03:06:40,Positif,biaya pengiriman murah belanja aman dengan shopee,biaya kirim murah belanja aman
bagus,5,2026-04-15 03:06:09,Positif,bagus,bagus
"kecewa banget paket belum dikirim² padahal sudah lewat estimasi yang seharusnya,, seharusnya paket saya datang ditanggal 11 bulan april tapi sampe sekarang belum tau keberadaan paket saya dimana, padahal paket itu saya butuhkan sekali sampe sekarang masih stcuk diperjalanan blm ada konfirmasi apakah sudah sampe di Dc selanjutnya benar² mengecewakan",1,2026-04-15 03:05:21,Negatif,kecewa banget paket belum dikirim padahal sudah lewat estimasi yang seharusnya seharusnya paket saya datang ditanggal bulan april tapi sampe sekarang belum tau keberadaan paket saya dimana padahal paket itu saya butuhkan sekali sampe sekarang masih stcuk diperjalanan blm ada konfirmasi apakah sudah sampe di dc selanjutnya benar mengecewakan,kecewa paket kirim padahal lewat estimasi harus harus paket datang tanggal bulan april sampai sekarang tau ada paket padahal paket butuh sampai sekarang stcuk jalan konfirmasi apakah sampai dc lanjut benar kecewa
sangat membantu,5,2026-04-15 03:04:48,Positif,sangat membantu,bantu
lemottt,1,2026-04-15 03:03:20,Negatif,lemottt,lemottt
sekarang jadi males pake nya karna yah 2 kali dapet kurir dengan kejadian yg kurang mengenak kan,4,2026-04-15 03:02:01,Positif,sekarang jadi males pake nya karna yah kali dapet kurir dengan kejadian yg kurang mengenak kan,sekarang jadi males pake nya yah kali dapet kurir jadi kurang enak kan
"Makin kesini makin mahal.. Trs udah 3 hari ini lagi pake aplikasi lain, malah tiba² dialihkan ke shopee dan ke toko skintific.. Ga bs diskip.. Parah.. Ganggu aktivitas aja 👎🏻👎🏻👎🏻",1,2026-04-15 02:57:40,Negatif,makin kesini makin mahal trs udah hari ini lagi pake aplikasi lain malah tiba dialihkan ke shopee dan ke toko skintific ga bs diskip parah ganggu aktivitas aja,makin kesini makin mahal trs hari pake lain malah tiba alih toko skintific skip buruk ganggu aktivitas
Hingga saat ini sy msh setia dgn aplikasi ini (shoopee) karena sy anggap baik dalam system dan pelayanannya selama ini.,5,2026-04-15 02:56:13,Positif,hingga saat ini sy msh setia dgn aplikasi ini shoopee karena sy anggap baik dalam system dan pelayanannya selama ini,hingga setia shoopee anggap baik system layan lama
Apk shopee ini berguna banget💯💯,5,2026-04-15 02:52:10,Positif,apk shopee ini berguna banget,apk guna
aplikasi BEJAD selalu muncul di website fiks ngemis,1,2026-04-15 02:51:31,Negatif,aplikasi bejad selalu muncul di website fiks ngemis,bejad muncul website fiks ngemis
sering kasih diskon,5,2026-04-15 02:50:13,Positif,sering kasih diskon,sering kasih diskon
tolong percepat pesanan orang ongkir gratis tapi sampai 2 Minggu pesanan belum sampai juga..,3,2026-04-15 02:48:33,Netral,tolong percepat pesanan orang ongkir gratis tapi sampai minggu pesanan belum sampai juga,tolong cepat pesan orang ongkir gratis sampai minggu pesan sampai
mantap.,5,2026-04-15 02:46:43,Positif,mantap,bagus
shipee terr de bes👌,5,2026-04-15 02:44:41,Positif,shipee terr de bes,shipee terr de bes
mempermudah berbelanja online,5,2026-04-15 02:42:53,Positif,mempermudah berbelanja online,mudah belanja online
SANGAT BAGUS AKU SANGAT SUKA .,5,2026-04-15 02:41:50,Positif,sangat bagus aku sangat suka,bagus aku suka
suka belanja dishopee,5,2026-04-15 02:39:13,Positif,suka belanja dishopee,suka belanja dishopee
"apk llmyn bagus TPI buat pengembalian dana syulit harus ajubanding dlu,udh seminggu pengembalian dana. gw belum masuk mending 100-200 mah lah 2500 blum masuk""""🙃",2,2026-04-15 02:37:57,Negatif,apk llmyn bagus tpi buat pengembalian dana syulit harus ajubanding dlu udh seminggu pengembalian dana gw belum masuk mending mah lah blum masuk,apk llmyn bagus tpi kembali dana syulit ajubanding dlu minggu kembali dana masuk mending mah blum masuk
Good all produk bykk sale puaaaz bgttttt blanja dishopee..survive sale good all quality produk nonstoop lariisnyaa mksh bykk💞neverdie shopee,5,2026-04-15 02:37:19,Positif,good all produk bykk sale puaaaz bgttttt blanja dishopee survive sale good all quality produk nonstoop lariisnyaa mksh bykk neverdie shopee,good all produk bykk sale puaaaz bgttttt blanja dishopee survive sale good all quality produk nonstoop lariisnyaa mksh bykk neverdie
selama ini masih is the best,5,2026-04-15 02:36:09,Positif,selama ini masih is the best,lama is the best
puas,5,2026-04-15 02:35:39,Positif,puas,puas
Ok,5,2026-04-15 02:35:09,Positif,ok,ok
bagus,5,2026-04-15 02:29:40,Positif,bagus,bagus
pingin belanja tapi apakah harus punya dana di shopee dulu kah??,5,2026-04-15 02:28:57,Positif,pingin belanja tapi apakah harus punya dana di shopee dulu kah,pingin belanja apakah punya dana dulu
"makin ribet pengembalian dana harus tunggu ACC dri admin,, Cs berbelit"" menjelaskan mdak bisa menyelesaikan masalah hanya janji , sudah 7x24 jam dana blum kembali",1,2026-04-15 02:28:56,Negatif,makin ribet pengembalian dana harus tunggu acc dri admin cs berbelit menjelaskan mdak bisa menyelesaikan masalah hanya janji sudah x jam dana blum kembali,makin rumit kembali dana tunggu acc dri admin cs belit jelas mdak selesai masalah hanya janji jam dana blum kembali
ok mantap,5,2026-04-15 02:28:35,Positif,ok mantap,ok bagus
"sebenarnya aplikasinya bagus, sangat membantu, nanmun akhir akhir ini banyak biaya tambahan seperti biaya layanan yang tinggi, padahal harga produk sudah terjangkau dan 1 lagi kenapa kalau buka shoope food alamat pengantarannya bisa tiba tiba berubah, mana jauh sekali 1 km an, untuk orang yang jarang cek alamat saat checkout dan sudah disetting alamat utama jadi bingung sendiri kak, kasian drivernya. kita mau ke titik itu juga sangat jauh bukanya mempermudah malah mempersulit🙏🏻",2,2026-04-15 02:28:12,Negatif,sebenarnya aplikasinya bagus sangat membantu nanmun akhir akhir ini banyak biaya tambahan seperti biaya layanan yang tinggi padahal harga produk sudah terjangkau dan lagi kenapa kalau buka shoope food alamat pengantarannya bisa tiba tiba berubah mana jauh sekali km an untuk orang yang jarang cek alamat saat checkout dan sudah disetting alamat utama jadi bingung sendiri kak kasian drivernya kita mau ke titik itu juga sangat jauh bukanya mempermudah malah mempersulit,benar aplikasi bagus bantu nanmun akhir akhir banyak biaya tambah seperti biaya layan tinggi padahal harga produk jangkau buka shoope food alamat antar tiba tiba ubah mana jauh km an orang jarang cek alamat checkout disetting alamat utama jadi bingung sendiri kak kasi drivernya ingin titik jauh buka mudah malah sulit
"uji coba pertama kali, semoga amanah",5,2026-04-15 02:19:46,Positif,uji coba pertama kali semoga amanah,uji coba pertama kali moga amanah
"belanja di shopee menyenangkan, banyak produk pilihan, dengan harga terjangkau,",5,2026-04-15 02:17:33,Positif,belanja di shopee menyenangkan banyak produk pilihan dengan harga terjangkau,belanja senang banyak produk pilih harga jangkau
"Aplikasi Sangat Lemot, Pengiriman SPX Sekarang Makin Parah, Masa 10 hari Lebih Pesanan Saya Belum Tiba, Daftar Paylater ga bisa, Kalau Tidak Bisa mengoptimalkan Aplikasi Lebih Baik Hilangkan Saja, SEMOGA di Baca Oleh Owner Aplikasi Shopee, Saya mohon di Perbaiki Di bagian Expedisi, Tentunya SPX",1,2026-04-15 02:15:54,Negatif,aplikasi sangat lemot pengiriman spx sekarang makin parah masa hari lebih pesanan saya belum tiba daftar paylater ga bisa kalau tidak bisa mengoptimalkan aplikasi lebih baik hilangkan saja semoga di baca oleh owner aplikasi shopee saya mohon di perbaiki di bagian expedisi tentunya spx,lambat kirim spx sekarang makin buruk masa hari pesan tiba daftar paylater optimal baik hilang moga baca owner mohon baik bagi expedisi tentu spx
akun gw di bajak sama orang eh di tanganinya gak bener sekarang gw gak bisa belanja lagi nih coba kalo lu profesional chat ke email gw bantu dong csnya juga jwabnya gak jelas mulu,1,2026-04-15 02:11:43,Negatif,akun gw di bajak sama orang eh di tanganinya gak bener sekarang gw gak bisa belanja lagi nih coba kalo lu profesional chat ke email gw bantu dong csnya juga jwabnya gak jelas mulu,akun bajak orang eh tangan benar sekarang belanja nih coba kalo profesional chat email bantu dong csnya jwabnya jelas mulu
baik,5,2026-04-15 02:10:51,Positif,baik,baik
"sebagai customer merasa sangat dirugikan dengan pengiriman SPX INSTANT,seharusnya driver hanya bawa satu barang saja tapi kenyataan driver di lapangan bawa pesanan gabungan lain nya,jadi menurut saya shopee sangat lambat dalam pengiriman.Bintang 1 cocok buat shopee ,kalo tidak ada perbaikan sama sekali! customer rugi bayar ongkir penuh nyampe ke driver tidak seberapa",1,2026-04-15 02:10:50,Negatif,sebagai customer merasa sangat dirugikan dengan pengiriman spx instant seharusnya driver hanya bawa satu barang saja tapi kenyataan driver di lapangan bawa pesanan gabungan lain nya jadi menurut saya shopee sangat lambat dalam pengiriman bintang cocok buat shopee kalo tidak ada perbaikan sama sekali customer rugi bayar ongkir penuh nyampe ke driver tidak seberapa,bagai customer rasa rugi kirim spx instant harus driver hanya bawa barang nyata driver lapang bawa pesan gabung lain nya jadi turut lambat kirim bintang cocok kalo baik customer rugi bayar ongkir penuh nyampe driver berapa
banyak diskon.. aku sukaaaa,5,2026-04-15 02:09:56,Positif,banyak diskon aku sukaaaa,banyak diskon aku sukaaaa
"klk gk percaya ,tolong pengajuan jgn di janji"" in aja.",2,2026-04-15 02:06:14,Negatif,klk gk percaya tolong pengajuan jgn di janji in aja,klk percaya tolong aju jgn janji in
good,5,2026-04-15 02:06:04,Positif,good,good
transaksi gagal tapi saldo saya hilang 50 ribu.pulsa tidak masuk juga bagaimana ini Shoppe pay saldo saya tidak kembali,3,2026-04-15 02:05:32,Netral,transaksi gagal tapi saldo saya hilang ribu pulsa tidak masuk juga bagaimana ini shoppe pay saldo saya tidak kembali,transaksi gagal saldo hilang ribu pulsa masuk shoppe pay saldo kembali
"Tolong system pelanggaran shopee diperbaiki jangan asal kasih pelanggaran ke host yang lagi live, dengan alasan tdk menmpilkan produk, padahal host lagi spall spill produk,",1,2026-04-15 02:01:01,Negatif,tolong system pelanggaran shopee diperbaiki jangan asal kasih pelanggaran ke host yang lagi live dengan alasan tdk menmpilkan produk padahal host lagi spall spill produk,tolong system langgar baik jangan asal kasih langgar host live alas menmpilkan produk padahal host spall spill produk
"Pelanggaran live terus, alasannya host tidak menampilkan produk, padahal itu orang lagi spall spill produk, emang buta system Shopee ini",1,2026-04-15 01:58:53,Negatif,pelanggaran live terus alasannya host tidak menampilkan produk padahal itu orang lagi spall spill produk emang buta system shopee ini,langgar live terus alas host tampil produk padahal orang spall spill produk memang buta system
sangat buruk pengembalian di suruh bikin video tapi hanya di batasi 100 mb sedangkan video sekarang kualitas hd ujung ujungnya pengembalian tidak di setujui,1,2026-04-15 01:57:12,Negatif,sangat buruk pengembalian di suruh bikin video tapi hanya di batasi mb sedangkan video sekarang kualitas hd ujung ujungnya pengembalian tidak di setujui,buruk kembali suruh bikin video hanya batas mb sedang video sekarang kualitas hd ujung ujung kembali tuju
"barang yang masuk ke gudang shopee pusat,harus diperiksa/sortir, agar dipastikan sesuai pesanan.karna jaman digitalisasi semakin canggih sekaligus menghindari penipuan, bagian penyortiran harus ketat demi kepercayaan masyarakat terhadap shoppe.salam waras🫰🌹📢",5,2026-04-15 01:56:44,Positif,barang yang masuk ke gudang shopee pusat harus diperiksa sortir agar dipastikan sesuai pesanan karna jaman digitalisasi semakin canggih sekaligus menghindari penipuan bagian penyortiran harus ketat demi kepercayaan masyarakat terhadap shoppe salam waras,barang masuk gudang pusat periksa sortir pasti sesuai pesan jaman digitalisasi makin canggih sekaligus hindar tipu bagi sortir ketat demi percaya masyarakat hadap shoppe salam waras
Selalu tetap jaga Kesehatan dan Berkah segalaNya,5,2026-04-15 01:56:38,Positif,selalu tetap jaga kesehatan dan berkah segalanya,tetap jaga sehat berkah segala
"aplikasi paling gk guna knp tiba2 koin shopee ku hilang pdahal gk dipake, kembalikan koin shopee ku",1,2026-04-15 01:52:17,Negatif,aplikasi paling gk guna knp tiba koin shopee ku hilang pdahal gk dipake kembalikan koin shopee ku,paling guna tiba koin ku hilang pdahal dipake kembali koin ku
Mantap,5,2026-04-15 01:51:51,Positif,mantap,bagus
Bagus sekali,5,2026-04-15 01:51:08,Positif,bagus sekali,bagus
"shopeefood nya ga seperti dulu, murah.. sekarang ada biaya layanan, hemat ongkir cuma 1000, diskon tambah pelit.. skrng jarang shopeefood lg murah langsung didatangi",1,2026-04-15 01:49:51,Negatif,shopeefood nya ga seperti dulu murah sekarang ada biaya layanan hemat ongkir cuma diskon tambah pelit skrng jarang shopeefood lg murah langsung didatangi,shopeefood nya seperti dulu murah sekarang biaya layan hemat ongkir cuma diskon tambah pelit skrng jarang shopeefood murah langsung datang
murah banget pokoknya mantap dah,5,2026-04-15 01:48:27,Positif,murah banget pokoknya mantap dah,murah pokok bagus dah
bgs shopee,5,2026-04-15 01:46:41,Positif,bgs shopee,bgs
shopee.apa aja ada.terbaik..,5,2026-04-15 01:44:44,Positif,shopee apa aja ada terbaik,baik
dengan Shopee belanja lebih mudah,5,2026-04-15 01:42:04,Positif,dengan shopee belanja lebih mudah,belanja mudah
ok,5,2026-04-15 01:41:45,Positif,ok,ok
shopee the best,5,2026-04-15 01:35:36,Positif,shopee the best,the best
"Pas d updet udh gk bisa masuk, d hapus aplikasinya, trus download lagi, ekh malam lebih parah, mngkin saatnya ganti Lain aplikasi Yah..",3,2026-04-15 01:32:50,Netral,pas d updet udh gk bisa masuk d hapus aplikasinya trus download lagi ekh malam lebih parah mngkin saatnya ganti lain aplikasi yah,pas updet masuk hapus aplikasi trus download ekh malam buruk mngkin saat ganti lain yah
belanja puas harga pas,5,2026-04-15 01:32:19,Positif,belanja puas harga pas,belanja puas harga pas
aku suka banget,5,2026-04-15 01:32:10,Positif,aku suka banget,aku suka
sangat suka barang di shoppe murah2 juga,5,2026-04-15 01:28:35,Positif,sangat suka barang di shoppe murah juga,suka barang shoppe murah
"gk lagi gue pke apk shopee, ribet bgtt bnyak bgtt cacicu nyaa, mana saldo shopeepay gue mandet kga bisa keluar",2,2026-04-15 01:28:25,Negatif,gk lagi gue pke apk shopee ribet bgtt bnyak bgtt cacicu nyaa mana saldo shopeepay gue mandet kga bisa keluar,pke apk rumit bgtt bnyak bgtt cacicu nyaa mana saldo shopeepay mandet kga keluar
"lebih gampang berbelanja, diskon banyak, gratis ongkir ke semua pulau, memudahkan pembeli untuk berbelanja disela2 kesibukan, shopee mantap . semoga lebih berkembang lagi, lebih bnyk diskonnya lgi😅👍🏻👍🏻👍🏻👍🏻",5,2026-04-15 01:27:51,Positif,lebih gampang berbelanja diskon banyak gratis ongkir ke semua pulau memudahkan pembeli untuk berbelanja disela kesibukan shopee mantap semoga lebih berkembang lagi lebih bnyk diskonnya lgi,gampang belanja diskon banyak gratis ongkir semua pulau mudah beli belanja sela sibuk bagus moga kembang bnyk diskon lgi
membantu berbelanja meski tidak ke toko,5,2026-04-15 01:27:29,Positif,membantu berbelanja meski tidak ke toko,bantu belanja meski toko
saya pengguna shoppi sdh lama selalu puas...nah saat ini saya salah belanja barang yg harganya cukup lumayan buat saya...apa bisa dikembalika atau ditukar barang yg saya butuhkan...terima kasih...pembayaran melalui shoppi cash.,5,2026-04-15 01:27:01,Positif,saya pengguna shoppi sdh lama selalu puas nah saat ini saya salah belanja barang yg harganya cukup lumayan buat saya apa bisa dikembalika atau ditukar barang yg saya butuhkan terima kasih pembayaran melalui shoppi cash,guna shoppi lama puas nah salah belanja barang harga cukup lumayan dikembalika tukar barang butuh terima kasih bayar lalu shoppi cash
"Trimksih sdh sngt membantu, tingkat kan kwalitas produk yg ori, juga ongkir gratis, dn potongan harga ya 👍👍👍👍",5,2026-04-15 01:24:38,Positif,trimksih sdh sngt membantu tingkat kan kwalitas produk yg ori juga ongkir gratis dn potongan harga ya,trimksih sngt bantu tingkat kan kwalitas produk ori ongkir gratis dn potong harga ya
oce,3,2026-04-15 01:24:27,Netral,oce,oce
mantap,5,2026-04-15 01:22:40,Positif,mantap,bagus
banyak barang tidak sesuai pesanan saya,1,2026-04-15 01:18:37,Negatif,banyak barang tidak sesuai pesanan saya,banyak barang sesuai pesan
bagus,5,2026-04-15 01:14:53,Positif,bagus,bagus
oke,5,2026-04-15 01:13:19,Positif,oke,oke
good,5,2026-04-15 01:13:17,Positif,good,good
belanja online di shopee sangat memuaskan,5,2026-04-15 01:10:26,Positif,belanja online di shopee sangat memuaskan,belanja online muas
mantap,4,2026-04-15 01:10:04,Positif,mantap,bagus
"Kebijakan nyeleneh, jadi seller admin 20%. Jadi kurir ongkos nya gak masuk akal. 800rp per KM",1,2026-04-15 01:09:45,Negatif,kebijakan nyeleneh jadi seller admin jadi kurir ongkos nya gak masuk akal rp per km,bijak nyeleneh jadi seller admin jadi kurir ongkos nya masuk akal rp per km
sekarang bintang yg berbicara mohon di pertahankan kwalitas pelayanannya klw bisa tingkatkan klw ada penurunan layanan dan tambah2 biaya lagi saya turunkan bintang nya,5,2026-04-15 01:08:55,Positif,sekarang bintang yg berbicara mohon di pertahankan kwalitas pelayanannya klw bisa tingkatkan klw ada penurunan layanan dan tambah biaya lagi saya turunkan bintang nya,sekarang bintang bicara mohon tahan kwalitas layan klw tingkat klw turun layan tambah biaya turun bintang nya
"sejak ada shoope, buat aku yang introvert ini membantu banget sih jadi nggak harus keluar dan ketemu orang banyak buat beli barang, terus harganya murah murah dari pada beli langsung, pengiriman pun cepat sekali selalu ke shoope kalau lagi cari barang 🫰🏻🫰🏻",5,2026-04-15 01:08:07,Positif,sejak ada shoope buat aku yang introvert ini membantu banget sih jadi nggak harus keluar dan ketemu orang banyak buat beli barang terus harganya murah murah dari pada beli langsung pengiriman pun cepat sekali selalu ke shoope kalau lagi cari barang,sejak shoope aku introvert bantu sih jadi keluar ketemu orang banyak beli barang terus harga murah murah beli langsung kirim cepat shoope cari barang
Aplikasinya bagus. Tapi untuk pengirimannya sangat sangat buruk. Sebelum ada jasa pengiriman dari shoppe masih menggunakan jasa pengiriman J&T atau JNE aman aja paling lama 1 minggu nyampe. Sekarang semua di ambil alih oleh shoppe yg akhirnya pengiriman bisa 1 bulan lebih. Bahkan barang bisa di kembalikan ke penjual. Kalau gak mampu jangan menyanggupi untuk menyediakan jasa pengiriman. SERAKAH,1,2026-04-15 01:05:26,Negatif,aplikasinya bagus tapi untuk pengirimannya sangat sangat buruk sebelum ada jasa pengiriman dari shoppe masih menggunakan jasa pengiriman j t atau jne aman aja paling lama minggu nyampe sekarang semua di ambil alih oleh shoppe yg akhirnya pengiriman bisa bulan lebih bahkan barang bisa di kembalikan ke penjual kalau gak mampu jangan menyanggupi untuk menyediakan jasa pengiriman serakah,aplikasi bagus kirim buruk belum jasa kirim shoppe guna jasa kirim jne aman paling lama minggu nyampe sekarang semua ambil alih shoppe akhir kirim bulan bahkan barang kembali jual mampu jangan sanggup sedia jasa kirim serakah
banyak barang scam,3,2026-04-15 01:02:04,Netral,banyak barang scam,banyak barang scam
sejauh ini belanja di shopee bagus cuman sebagian masih ada toko nya jual produk gak sesuai dengan pesanan,5,2026-04-15 00:59:52,Positif,sejauh ini belanja di shopee bagus cuman sebagian masih ada toko nya jual produk gak sesuai dengan pesanan,jauh belanja bagus cuman bagi toko nya jual produk sesuai pesan
pesanan barang bisa terpantau dengan muda,5,2026-04-15 00:58:34,Positif,pesanan barang bisa terpantau dengan muda,pesan barang pantau muda
ganggu banget iklannya lagi scroll tiba tiba muncul iklan shoope mana dipaksa masuk apk nya lagi,1,2026-04-15 00:55:31,Negatif,ganggu banget iklannya lagi scroll tiba tiba muncul iklan shoope mana dipaksa masuk apk nya lagi,ganggu iklan scroll tiba tiba muncul iklan shoope mana paksa masuk apk nya
aplikasi bagus,5,2026-04-15 00:54:58,Positif,aplikasi bagus,bagus
santun,5,2026-04-15 00:53:04,Positif,santun,santun
