review_asli,review_clean,review_normalized,rating,label,tanggal
bikin enek . setiap slide buat kembali pasti larinya ke live . jadi seperti sampah dan mengganggu .. tidak nyaman.,bikin enek setiap slide buat kembali pasti larinya ke live jadi seperti sampah dan mengganggu tidak nyaman,bikin enek setiap slide untuk kembali pasti larinya ke live jadi seperti sampah dan mengganggu tidak nyaman,3,Netral,2026-04-15 03:27:37
"Mau lihat live selalu tidak bisa karena tertulis jaringan host tidak stabil, padahal kolom komentar lancar terus, membingungkan",mau lihat live selalu tidak bisa karena tertulis jaringan host tidak stabil padahal kolom komentar lancar terus membingungkan,mau lihat live selalu tidak bisa karena tertulis jaringan host tidak stabil padahal kolom komentar lancar terus membingungkan,2,Negatif,2026-04-15 03:27:12
aplikasi paling aktif dipakai buat belanja belanji apa aja adaa,aplikasi paling aktif dipakai buat belanja belanji apa aja adaa,aplikasi paling aktif dipakai untuk belanja belanji apa saja adaa,5,Positif,2026-04-15 03:25:44
"lama banget pesan makanan atau instant di aplikasi ini mah, selalu di gabung sama pesanan lain mending pesan di gojek aja gak pake lama..",lama banget pesan makanan atau instant di aplikasi ini mah selalu di gabung sama pesanan lain mending pesan di gojek aja gak pake lama,lama banget pesan makanan atau instant di aplikasi ini mah selalu di gabung sama pesanan lain mending pesan di gojek saja tidak pake lama,1,Negatif,2026-04-15 03:24:08
sangat suka😍,sangat suka,sangat suka,5,Positif,2026-04-15 03:22:56
"terima kasih boskuh barangnya akhirnya sampai,sesuai pesanan jugak, tp yg bayrin bukan saya, org rumah, GK jadi dikembalikan🙂🙏",terima kasih boskuh barangnya akhirnya sampai sesuai pesanan jugak tp yg bayrin bukan saya org rumah gk jadi dikembalikan,terima kasih boskuh barangnya akhirnya sampai sesuai pesanan jugak tapi yg bayrin bukan saya org rumah tidak jadi dikembalikan,5,Positif,2026-04-15 03:21:42
baguss cuman klo harga nya kn sekian tapi tiba tiba pas di cod beda hargaa yaudah emng gitu mungkin tapi pas dtng nya eh malah beda harga lagi yang di cod nya harga segini giliran uda di antar beda lagii gmn sih,baguss cuman klo harga nya kn sekian tapi tiba tiba pas di cod beda hargaa yaudah emng gitu mungkin tapi pas dtng nya eh malah beda harga lagi yang di cod nya harga segini giliran uda di antar beda lagii gmn sih,baguss cuman kalau harga nya kn sekian tapi tiba tiba pas di Cash on Delivery (bayar di tempat) beda hargaa yaudah emng gitu mungkin tapi pas dtng nya eh malah beda harga lagi yang di Cash on Delivery (bayar di tempat) nya harga segini giliran uda di antar beda lagii gmn partikel penegas,4,Positif,2026-04-15 03:21:16
"halo tolong sampaikan ke Team Kreator ataupun marketing. jangan menggunakan kata kata Penting untuk notifikasi diluar dari kebutuhan sebenarnya. ini kurang sopan. tolong dibantu direview. dan bayangkan jika hp anda ada notifikasi ""penting"" diperjalanan menyempatkan untuk berhenti, atau di tol kalian terpaksa liat HP. ? dan isinya hanya notifikasi kreator yang belum dewasa ini. tidakkah kalian bisa pahami?",halo tolong sampaikan ke team kreator ataupun marketing jangan menggunakan kata kata penting untuk notifikasi diluar dari kebutuhan sebenarnya ini kurang sopan tolong dibantu direview dan bayangkan jika hp anda ada notifikasi penting diperjalanan menyempatkan untuk berhenti atau di tol kalian terpaksa liat hp dan isinya hanya notifikasi kreator yang belum dewasa ini tidakkah kalian bisa pahami,halo tolong sampaikan ke team kreator ataupun marketing jangan menggunakan kata kata penting untuk notifikasi diluar dari kebutuhan sebenarnya ini kurang sopan tolong dibantu direview dan bayangkan jika hp anda ada notifikasi penting diperjalanan menyempatkan untuk berhenti atau di tol kalian terpaksa liat hp dan isinya hanya notifikasi kreator yang belum dewasa ini tidakkah kalian bisa pahami,1,Negatif,2026-04-15 03:19:09
"buka app shopee jangan langsung arahkan ke video default, berat app ini. g99 saja gak kuat",buka app shopee jangan langsung arahkan ke video default berat app ini g saja gak kuat,buka app shopee jangan langsung arahkan ke video default berat app ini tidak saja tidak kuat,1,Negatif,2026-04-15 03:19:05
woi shopee Klo mesen shopeefood jgn cepet bgt lah ga bisa dicancel lagi.,woi shopee klo mesen shopeefood jgn cepet bgt lah ga bisa dicancel lagi,woi shopee kalau mesen shopeefood jgn cepet banget lah tidak bisa dicancel lagi,1,Negatif,2026-04-15 03:18:31
ol,ol,ol,5,Positif,2026-04-15 03:15:01
"no, m m wx kj mi faas. , )9)3 km. no mm waiisk mm m ada mk 🤩zz e .nnjaww aaaabs xe Nn di a no mm",no m m wx kj mi faas km no mm waiisk mm m ada mk zz e nnjaww aaaabs xe nn di a no mm,no m m wx kj mi faas km no mm waiisk mm m ada mk zz e nnjaww aaaabs xe nn di a no mm,4,Positif,2026-04-15 03:14:31
Trmksh barang barang udh di terima,trmksh barang barang udh di terima,trmksh barang barang sudah di terima,5,Positif,2026-04-15 03:12:59
6 di mana TV m,di mana tv m,di mana tv m,1,Negatif,2026-04-15 03:11:23
biaya pengiriman murah belanja aman dengan shopee,biaya pengiriman murah belanja aman dengan shopee,biaya pengiriman murah belanja aman dengan shopee,5,Positif,2026-04-15 03:06:40
bagus,bagus,bagus,5,Positif,2026-04-15 03:06:09
"kecewa banget paket belum dikirim² padahal sudah lewat estimasi yang seharusnya,, seharusnya paket saya datang ditanggal 11 bulan april tapi sampe sekarang belum tau keberadaan paket saya dimana, padahal paket itu saya butuhkan sekali sampe sekarang masih stcuk diperjalanan blm ada konfirmasi apakah sudah sampe di Dc selanjutnya benar² mengecewakan",kecewa banget paket belum dikirim padahal sudah lewat estimasi yang seharusnya seharusnya paket saya datang ditanggal bulan april tapi sampe sekarang belum tau keberadaan paket saya dimana padahal paket itu saya butuhkan sekali sampe sekarang masih stcuk diperjalanan blm ada konfirmasi apakah sudah sampe di dc selanjutnya benar mengecewakan,kecewa banget paket belum dikirim padahal sudah lewat estimasi yang seharusnya seharusnya paket saya datang ditanggal bulan april tapi sampe sekarang belum tau keberadaan paket saya dimana padahal paket itu saya butuhkan sekali sampe sekarang masih stcuk diperjalanan belum ada konfirmasi apakah sudah sampe di dc selanjutnya benar mengecewakan,1,Negatif,2026-04-15 03:05:21
sangat membantu,sangat membantu,sangat membantu,5,Positif,2026-04-15 03:04:48
lemottt,lemottt,lemottt,1,Negatif,2026-04-15 03:03:20
sekarang jadi males pake nya karna yah 2 kali dapet kurir dengan kejadian yg kurang mengenak kan,sekarang jadi males pake nya karna yah kali dapet kurir dengan kejadian yg kurang mengenak kan,sekarang jadi males pake nya karena yah kali dapet kurir dengan kejadian yg kurang mengenak kan,4,Positif,2026-04-15 03:02:01
"Makin kesini makin mahal.. Trs udah 3 hari ini lagi pake aplikasi lain, malah tiba² dialihkan ke shopee dan ke toko skintific.. Ga bs diskip.. Parah.. Ganggu aktivitas aja 👎🏻👎🏻👎🏻",makin kesini makin mahal trs udah hari ini lagi pake aplikasi lain malah tiba dialihkan ke shopee dan ke toko skintific ga bs diskip parah ganggu aktivitas aja,makin kesini makin mahal terus sudah hari ini lagi pake aplikasi lain malah tiba dialihkan ke shopee dan ke toko skintific tidak bisa diskip buruk sekali ganggu aktivitas saja,1,Negatif,2026-04-15 02:57:40
Hingga saat ini sy msh setia dgn aplikasi ini (shoopee) karena sy anggap baik dalam system dan pelayanannya selama ini.,hingga saat ini sy msh setia dgn aplikasi ini shoopee karena sy anggap baik dalam system dan pelayanannya selama ini,hingga saat ini sy msh setia dengan aplikasi ini shoopee karena sy anggap baik dalam system dan pelayanannya selama ini,5,Positif,2026-04-15 02:56:13
Apk shopee ini berguna banget💯💯,apk shopee ini berguna banget,apk shopee ini berguna banget,5,Positif,2026-04-15 02:52:10
aplikasi BEJAD selalu muncul di website fiks ngemis,aplikasi bejad selalu muncul di website fiks ngemis,aplikasi bejad selalu muncul di website fiks ngemis,1,Negatif,2026-04-15 02:51:31
sering kasih diskon,sering kasih diskon,sering kasih diskon,5,Positif,2026-04-15 02:50:13
tolong percepat pesanan orang ongkir gratis tapi sampai 2 Minggu pesanan belum sampai juga..,tolong percepat pesanan orang ongkir gratis tapi sampai minggu pesanan belum sampai juga,tolong percepat pesanan orang ongkos kirim gratis tapi sampai minggu pesanan belum sampai juga,3,Netral,2026-04-15 02:48:33
mantap.,mantap,bagus/memuaskan,5,Positif,2026-04-15 02:46:43
shipee terr de bes👌,shipee terr de bes,shipee terr de bes,5,Positif,2026-04-15 02:44:41
mempermudah berbelanja online,mempermudah berbelanja online,mempermudah berbelanja online,5,Positif,2026-04-15 02:42:53
SANGAT BAGUS AKU SANGAT SUKA .,sangat bagus aku sangat suka,sangat bagus aku sangat suka,5,Positif,2026-04-15 02:41:50
suka belanja dishopee,suka belanja dishopee,suka belanja dishopee,5,Positif,2026-04-15 02:39:13
"apk llmyn bagus TPI buat pengembalian dana syulit harus ajubanding dlu,udh seminggu pengembalian dana. gw belum masuk mending 100-200 mah lah 2500 blum masuk""""🙃",apk llmyn bagus tpi buat pengembalian dana syulit harus ajubanding dlu udh seminggu pengembalian dana gw belum masuk mending mah lah blum masuk,apk llmyn bagus tapi untuk pengembalian dana syulit harus ajubanding dulu sudah seminggu pengembalian dana gw belum masuk mending mah lah blum masuk,2,Negatif,2026-04-15 02:37:57
Good all produk bykk sale puaaaz bgttttt blanja dishopee..survive sale good all quality produk nonstoop lariisnyaa mksh bykk💞neverdie shopee,good all produk bykk sale puaaaz bgttttt blanja dishopee survive sale good all quality produk nonstoop lariisnyaa mksh bykk neverdie shopee,good all produk bykk sale puaaaz bgttttt blanja dishopee survive sale good all quality produk nonstoop lariisnyaa mksh bykk neverdie shopee,5,Positif,2026-04-15 02:37:19
selama ini masih is the best,selama ini masih is the best,selama ini masih is the best,5,Positif,2026-04-15 02:36:09
puas,puas,puas,5,Positif,2026-04-15 02:35:39
Ok,ok,ok,5,Positif,2026-04-15 02:35:09
bagus,bagus,bagus,5,Positif,2026-04-15 02:29:40
pingin belanja tapi apakah harus punya dana di shopee dulu kah??,pingin belanja tapi apakah harus punya dana di shopee dulu kah,pingin belanja tapi apakah harus punya dana di shopee dulu kah,5,Positif,2026-04-15 02:28:57
"makin ribet pengembalian dana harus tunggu ACC dri admin,, Cs berbelit"" menjelaskan mdak bisa menyelesaikan masalah hanya janji , sudah 7x24 jam dana blum kembali",makin ribet pengembalian dana harus tunggu acc dri admin cs berbelit menjelaskan mdak bisa menyelesaikan masalah hanya janji sudah x jam dana blum kembali,makin rumit/tidak praktis pengembalian dana harus tunggu acc dri admin cs berbelit menjelaskan mdak bisa menyelesaikan masalah hanya janji sudah x jam dana blum kembali,1,Negatif,2026-04-15 02:28:56
ok mantap,ok mantap,ok bagus/memuaskan,5,Positif,2026-04-15 02:28:35
"sebenarnya aplikasinya bagus, sangat membantu, nanmun akhir akhir ini banyak biaya tambahan seperti biaya layanan yang tinggi, padahal harga produk sudah terjangkau dan 1 lagi kenapa kalau buka shoope food alamat pengantarannya bisa tiba tiba berubah, mana jauh sekali 1 km an, untuk orang yang jarang cek alamat saat checkout dan sudah disetting alamat utama jadi bingung sendiri kak, kasian drivernya. kita mau ke titik itu juga sangat jauh bukanya mempermudah malah mempersulit🙏🏻",sebenarnya aplikasinya bagus sangat membantu nanmun akhir akhir ini banyak biaya tambahan seperti biaya layanan yang tinggi padahal harga produk sudah terjangkau dan lagi kenapa kalau buka shoope food alamat pengantarannya bisa tiba tiba berubah mana jauh sekali km an untuk orang yang jarang cek alamat saat checkout dan sudah disetting alamat utama jadi bingung sendiri kak kasian drivernya kita mau ke titik itu juga sangat jauh bukanya mempermudah malah mempersulit,sebenarnya aplikasinya bagus sangat membantu nanmun akhir akhir ini banyak biaya tambahan seperti biaya layanan yang tinggi padahal harga produk sudah terjangkau dan lagi kenapa kalau buka shoope food alamat pengantarannya bisa tiba tiba berubah mana jauh sekali km an untuk orang yang jarang cek alamat saat proses pembelian dan sudah disetting alamat utama jadi bingung sendiri kak kasian drivernya kita mau ke titik itu juga sangat jauh bukanya mempermudah malah mempersulit,2,Negatif,2026-04-15 02:28:12
"uji coba pertama kali, semoga amanah",uji coba pertama kali semoga amanah,uji coba pertama kali semoga amanah,5,Positif,2026-04-15 02:19:46
"belanja di shopee menyenangkan, banyak produk pilihan, dengan harga terjangkau,",belanja di shopee menyenangkan banyak produk pilihan dengan harga terjangkau,belanja di shopee menyenangkan banyak produk pilihan dengan harga terjangkau,5,Positif,2026-04-15 02:17:33
"Aplikasi Sangat Lemot, Pengiriman SPX Sekarang Makin Parah, Masa 10 hari Lebih Pesanan Saya Belum Tiba, Daftar Paylater ga bisa, Kalau Tidak Bisa mengoptimalkan Aplikasi Lebih Baik Hilangkan Saja, SEMOGA di Baca Oleh Owner Aplikasi Shopee, Saya mohon di Perbaiki Di bagian Expedisi, Tentunya SPX",aplikasi sangat lemot pengiriman spx sekarang makin parah masa hari lebih pesanan saya belum tiba daftar paylater ga bisa kalau tidak bisa mengoptimalkan aplikasi lebih baik hilangkan saja semoga di baca oleh owner aplikasi shopee saya mohon di perbaiki di bagian expedisi tentunya spx,aplikasi sangat lambat (aplikasi) pengiriman spx sekarang makin buruk sekali masa hari lebih pesanan saya belum tiba daftar paylater tidak bisa kalau tidak bisa mengoptimalkan aplikasi lebih baik hilangkan saja semoga di baca oleh owner aplikasi shopee saya mohon di perbaiki di bagian expedisi tentunya spx,1,Negatif,2026-04-15 02:15:54
akun gw di bajak sama orang eh di tanganinya gak bener sekarang gw gak bisa belanja lagi nih coba kalo lu profesional chat ke email gw bantu dong csnya juga jwabnya gak jelas mulu,akun gw di bajak sama orang eh di tanganinya gak bener sekarang gw gak bisa belanja lagi nih coba kalo lu profesional chat ke email gw bantu dong csnya juga jwabnya gak jelas mulu,akun gw di bajak sama orang eh di tanganinya tidak bener sekarang gw tidak bisa belanja lagi ini coba kalau lu profesional chat ke email gw bantu saja (partikel penegas) csnya juga jwabnya tidak jelas mulu,1,Negatif,2026-04-15 02:11:43
baik,baik,baik,5,Positif,2026-04-15 02:10:51
"sebagai customer merasa sangat dirugikan dengan pengiriman SPX INSTANT,seharusnya driver hanya bawa satu barang saja tapi kenyataan driver di lapangan bawa pesanan gabungan lain nya,jadi menurut saya shopee sangat lambat dalam pengiriman.Bintang 1 cocok buat shopee ,kalo tidak ada perbaikan sama sekali! customer rugi bayar ongkir penuh nyampe ke driver tidak seberapa",sebagai customer merasa sangat dirugikan dengan pengiriman spx instant seharusnya driver hanya bawa satu barang saja tapi kenyataan driver di lapangan bawa pesanan gabungan lain nya jadi menurut saya shopee sangat lambat dalam pengiriman bintang cocok buat shopee kalo tidak ada perbaikan sama sekali customer rugi bayar ongkir penuh nyampe ke driver tidak seberapa,sebagai customer merasa sangat dirugikan dengan pengiriman spx instant seharusnya driver hanya bawa satu barang saja tapi kenyataan driver di lapangan bawa pesanan gabungan lain nya jadi menurut saya shopee sangat lambat dalam pengiriman bintang cocok untuk shopee kalau tidak ada perbaikan sama sekali customer rugi bayar ongkos kirim penuh nyampe ke driver tidak seberapa,1,Negatif,2026-04-15 02:10:50
banyak diskon.. aku sukaaaa,banyak diskon aku sukaaaa,banyak diskon aku sukaaaa,5,Positif,2026-04-15 02:09:56
"klk gk percaya ,tolong pengajuan jgn di janji"" in aja.",klk gk percaya tolong pengajuan jgn di janji in aja,klk tidak percaya tolong pengajuan jgn di janji in saja,2,Negatif,2026-04-15 02:06:14
good,good,good,5,Positif,2026-04-15 02:06:04
transaksi gagal tapi saldo saya hilang 50 ribu.pulsa tidak masuk juga bagaimana ini Shoppe pay saldo saya tidak kembali,transaksi gagal tapi saldo saya hilang ribu pulsa tidak masuk juga bagaimana ini shoppe pay saldo saya tidak kembali,transaksi gagal tapi saldo saya hilang ribu pulsa tidak masuk juga bagaimana ini shoppe pay saldo saya tidak kembali,3,Netral,2026-04-15 02:05:32
"Tolong system pelanggaran shopee diperbaiki jangan asal kasih pelanggaran ke host yang lagi live, dengan alasan tdk menmpilkan produk, padahal host lagi spall spill produk,",tolong system pelanggaran shopee diperbaiki jangan asal kasih pelanggaran ke host yang lagi live dengan alasan tdk menmpilkan produk padahal host lagi spall spill produk,tolong system pelanggaran shopee diperbaiki jangan asal kasih pelanggaran ke host yang lagi live dengan alasan tdk menmpilkan produk padahal host lagi spall spill produk,1,Negatif,2026-04-15 02:01:01
"Pelanggaran live terus, alasannya host tidak menampilkan produk, padahal itu orang lagi spall spill produk, emang buta system Shopee ini",pelanggaran live terus alasannya host tidak menampilkan produk padahal itu orang lagi spall spill produk emang buta system shopee ini,pelanggaran live terus alasannya host tidak menampilkan produk padahal itu orang lagi spall spill produk memang buta system shopee ini,1,Negatif,2026-04-15 01:58:53
sangat buruk pengembalian di suruh bikin video tapi hanya di batasi 100 mb sedangkan video sekarang kualitas hd ujung ujungnya pengembalian tidak di setujui,sangat buruk pengembalian di suruh bikin video tapi hanya di batasi mb sedangkan video sekarang kualitas hd ujung ujungnya pengembalian tidak di setujui,sangat buruk pengembalian di suruh bikin video tapi hanya di batasi mb sedangkan video sekarang kualitas hd ujung ujungnya pengembalian tidak di setujui,1,Negatif,2026-04-15 01:57:12
"barang yang masuk ke gudang shopee pusat,harus diperiksa/sortir, agar dipastikan sesuai pesanan.karna jaman digitalisasi semakin canggih sekaligus menghindari penipuan, bagian penyortiran harus ketat demi kepercayaan masyarakat terhadap shoppe.salam waras🫰🌹📢",barang yang masuk ke gudang shopee pusat harus diperiksa sortir agar dipastikan sesuai pesanan karna jaman digitalisasi semakin canggih sekaligus menghindari penipuan bagian penyortiran harus ketat demi kepercayaan masyarakat terhadap shoppe salam waras,barang yang masuk ke gudang shopee pusat harus diperiksa sortir agar dipastikan sesuai pesanan karena jaman digitalisasi semakin hebat/bagus sekaligus menghindari penipuan bagian penyortiran harus ketat demi kepercayaan masyarakat terhadap shoppe salam waras,5,Positif,2026-04-15 01:56:44
Selalu tetap jaga Kesehatan dan Berkah segalaNya,selalu tetap jaga kesehatan dan berkah segalanya,selalu tetap jaga kesehatan dan berkah segalanya,5,Positif,2026-04-15 01:56:38
"aplikasi paling gk guna knp tiba2 koin shopee ku hilang pdahal gk dipake, kembalikan koin shopee ku",aplikasi paling gk guna knp tiba koin shopee ku hilang pdahal gk dipake kembalikan koin shopee ku,aplikasi paling tidak guna knp tiba koin shopee ku hilang pdahal tidak dipake kembalikan koin shopee ku,1,Negatif,2026-04-15 01:52:17
Mantap,mantap,bagus/memuaskan,5,Positif,2026-04-15 01:51:51
Bagus sekali,bagus sekali,bagus sekali,5,Positif,2026-04-15 01:51:08
"shopeefood nya ga seperti dulu, murah.. sekarang ada biaya layanan, hemat ongkir cuma 1000, diskon tambah pelit.. skrng jarang shopeefood lg murah langsung didatangi",shopeefood nya ga seperti dulu murah sekarang ada biaya layanan hemat ongkir cuma diskon tambah pelit skrng jarang shopeefood lg murah langsung didatangi,shopeefood nya tidak seperti dulu murah sekarang ada biaya layanan hemat ongkos kirim cuma diskon tambah pelit skrng jarang shopeefood sedang/lagi murah langsung didatangi,1,Negatif,2026-04-15 01:49:51
murah banget pokoknya mantap dah,murah banget pokoknya mantap dah,murah banget pokoknya bagus/memuaskan sudah,5,Positif,2026-04-15 01:48:27
bgs shopee,bgs shopee,bgs shopee,5,Positif,2026-04-15 01:46:41
shopee.apa aja ada.terbaik..,shopee apa aja ada terbaik,shopee apa saja ada terbaik,5,Positif,2026-04-15 01:44:44
dengan Shopee belanja lebih mudah,dengan shopee belanja lebih mudah,dengan shopee belanja lebih mudah,5,Positif,2026-04-15 01:42:04
ok,ok,ok,5,Positif,2026-04-15 01:41:45
shopee the best,shopee the best,shopee the best,5,Positif,2026-04-15 01:35:36
"Pas d updet udh gk bisa masuk, d hapus aplikasinya, trus download lagi, ekh malam lebih parah, mngkin saatnya ganti Lain aplikasi Yah..",pas d updet udh gk bisa masuk d hapus aplikasinya trus download lagi ekh malam lebih parah mngkin saatnya ganti lain aplikasi yah,pas d updet sudah tidak bisa masuk d hapus aplikasinya trus download lagi ekh malam lebih buruk sekali mngkin saatnya ganti lain aplikasi yah,3,Netral,2026-04-15 01:32:50
belanja puas harga pas,belanja puas harga pas,belanja puas harga pas,5,Positif,2026-04-15 01:32:19
aku suka banget,aku suka banget,aku suka banget,5,Positif,2026-04-15 01:32:10
sangat suka barang di shoppe murah2 juga,sangat suka barang di shoppe murah juga,sangat suka barang di shoppe murah juga,5,Positif,2026-04-15 01:28:35
"gk lagi gue pke apk shopee, ribet bgtt bnyak bgtt cacicu nyaa, mana saldo shopeepay gue mandet kga bisa keluar",gk lagi gue pke apk shopee ribet bgtt bnyak bgtt cacicu nyaa mana saldo shopeepay gue mandet kga bisa keluar,tidak lagi gue pke apk shopee rumit/tidak praktis bgtt bnyak bgtt cacicu nyaa mana saldo shopeepay gue mandet kga bisa keluar,2,Negatif,2026-04-15 01:28:25
"lebih gampang berbelanja, diskon banyak, gratis ongkir ke semua pulau, memudahkan pembeli untuk berbelanja disela2 kesibukan, shopee mantap . semoga lebih berkembang lagi, lebih bnyk diskonnya lgi😅👍🏻👍🏻👍🏻👍🏻",lebih gampang berbelanja diskon banyak gratis ongkir ke semua pulau memudahkan pembeli untuk berbelanja disela kesibukan shopee mantap semoga lebih berkembang lagi lebih bnyk diskonnya lgi,lebih gampang berbelanja diskon banyak gratis ongkos kirim ke semua pulau memudahkan pembeli untuk berbelanja disela kesibukan shopee bagus/memuaskan semoga lebih berkembang lagi lebih bnyk diskonnya lagi,5,Positif,2026-04-15 01:27:51
membantu berbelanja meski tidak ke toko,membantu berbelanja meski tidak ke toko,membantu berbelanja meski tidak ke toko,5,Positif,2026-04-15 01:27:29
saya pengguna shoppi sdh lama selalu puas...nah saat ini saya salah belanja barang yg harganya cukup lumayan buat saya...apa bisa dikembalika atau ditukar barang yg saya butuhkan...terima kasih...pembayaran melalui shoppi cash.,saya pengguna shoppi sdh lama selalu puas nah saat ini saya salah belanja barang yg harganya cukup lumayan buat saya apa bisa dikembalika atau ditukar barang yg saya butuhkan terima kasih pembayaran melalui shoppi cash,saya pengguna shoppi sudah lama selalu puas nah saat ini saya salah belanja barang yg harganya cukup lumayan untuk saya apa bisa dikembalika atau ditukar barang yg saya butuhkan terima kasih pembayaran melalui shoppi cash,5,Positif,2026-04-15 01:27:01
"Trimksih sdh sngt membantu, tingkat kan kwalitas produk yg ori, juga ongkir gratis, dn potongan harga ya 👍👍👍👍",trimksih sdh sngt membantu tingkat kan kwalitas produk yg ori juga ongkir gratis dn potongan harga ya,trimksih sudah sngt membantu tingkat kan kwalitas produk yg ori juga ongkos kirim gratis dn potongan harga ya,5,Positif,2026-04-15 01:24:38
oce,oce,oce,3,Netral,2026-04-15 01:24:27
mantap,mantap,bagus/memuaskan,5,Positif,2026-04-15 01:22:40
banyak barang tidak sesuai pesanan saya,banyak barang tidak sesuai pesanan saya,banyak barang tidak sesuai pesanan saya,1,Negatif,2026-04-15 01:18:37
bagus,bagus,bagus,5,Positif,2026-04-15 01:14:53
oke,oke,oke,5,Positif,2026-04-15 01:13:19
good,good,good,5,Positif,2026-04-15 01:13:17
belanja online di shopee sangat memuaskan,belanja online di shopee sangat memuaskan,belanja online di shopee sangat memuaskan,5,Positif,2026-04-15 01:10:26
mantap,mantap,bagus/memuaskan,4,Positif,2026-04-15 01:10:04
"Kebijakan nyeleneh, jadi seller admin 20%. Jadi kurir ongkos nya gak masuk akal. 800rp per KM",kebijakan nyeleneh jadi seller admin jadi kurir ongkos nya gak masuk akal rp per km,kebijakan nyeleneh jadi penjual admin jadi kurir ongkos nya tidak masuk akal rp per km,1,Negatif,2026-04-15 01:09:45
sekarang bintang yg berbicara mohon di pertahankan kwalitas pelayanannya klw bisa tingkatkan klw ada penurunan layanan dan tambah2 biaya lagi saya turunkan bintang nya,sekarang bintang yg berbicara mohon di pertahankan kwalitas pelayanannya klw bisa tingkatkan klw ada penurunan layanan dan tambah biaya lagi saya turunkan bintang nya,sekarang bintang yg berbicara mohon di pertahankan kwalitas pelayanannya klw bisa tingkatkan klw ada penurunan layanan dan tambah biaya lagi saya turunkan bintang nya,5,Positif,2026-04-15 01:08:55
