review,rating,tanggal
"Aplikasi Sangat Lemot, Pengiriman SPX Sekarang Makin Parah, Masa 10 hari Lebih Pesanan Saya Belum Tiba, Daftar Paylater ga bisa, Kalau Tidak Bisa mengoptimalkan Aplikasi Lebih Baik Hilangkan Saja, SEMOGA di Baca Oleh Owner Aplikasi Shopee, Saya mohon di Perbaiki Di bagian Expedisi, Tentunya SPX",1,2026-04-15 02:15:54
akun gw di bajak sama orang eh di tanganinya gak bener sekarang gw gak bisa belanja lagi nih coba kalo lu profesional chat ke email gw bantu dong csnya juga jwabnya gak jelas mulu,1,2026-04-15 02:11:43
baik,5,2026-04-15 02:10:51
"sebagai customer merasa sangat dirugikan dengan pengiriman SPX INSTANT,seharusnya driver hanya bawa satu barang saja tapi kenyataan driver di lapangan bawa pesanan gabungan lain nya,jadi menurut saya shopee sangat lambat dalam pengiriman.Bintang 1 cocok buat shopee ,kalo tidak ada perbaikan sama sekali! customer rugi bayar ongkir penuh nyampe ke driver tidak seberapa",1,2026-04-15 02:10:50
banyak diskon.. aku sukaaaa,5,2026-04-15 02:09:56
"klk gk percaya ,tolong pengajuan jgn di janji"" in aja.",2,2026-04-15 02:06:14
good,5,2026-04-15 02:06:04
transaksi gagal tapi saldo saya hilang 50 ribu.pulsa tidak masuk juga bagaimana ini Shoppe pay saldo saya tidak kembali,3,2026-04-15 02:05:32
"Tolong system pelanggaran shopee diperbaiki jangan asal kasih pelanggaran ke host yang lagi live, dengan alasan tdk menmpilkan produk, padahal host lagi spall spill produk,",1,2026-04-15 02:01:01
"Pelanggaran live terus, alasannya host tidak menampilkan produk, padahal itu orang lagi spall spill produk, emang buta system Shopee ini",1,2026-04-15 01:58:53
sangat buruk pengembalian di suruh bikin video tapi hanya di batasi 100 mb sedangkan video sekarang kualitas hd ujung ujungnya pengembalian tidak di setujui,1,2026-04-15 01:57:12
"barang yang masuk ke gudang shopee pusat,harus diperiksa/sortir, agar dipastikan sesuai pesanan.karna jaman digitalisasi semakin canggih sekaligus menghindari penipuan, bagian penyortiran harus ketat demi kepercayaan masyarakat terhadap shoppe.salam waras🫰🌹📢",5,2026-04-15 01:56:44
Selalu tetap jaga Kesehatan dan Berkah segalaNya,5,2026-04-15 01:56:38
"aplikasi paling gk guna knp tiba2 koin shopee ku hilang pdahal gk dipake, kembalikan koin shopee ku",1,2026-04-15 01:52:17
Mantap,5,2026-04-15 01:51:51
Bagus sekali,5,2026-04-15 01:51:08
"shopeefood nya ga seperti dulu, murah.. sekarang ada biaya layanan, hemat ongkir cuma 1000, diskon tambah pelit.. skrng jarang shopeefood lg murah langsung didatangi",1,2026-04-15 01:49:51
murah banget pokoknya mantap dah,5,2026-04-15 01:48:27
bgs shopee,5,2026-04-15 01:46:41
shopee.apa aja ada.terbaik..,5,2026-04-15 01:44:44
dengan Shopee belanja lebih mudah,5,2026-04-15 01:42:04
ok,5,2026-04-15 01:41:45
shopee the best,5,2026-04-15 01:35:36
"Pas d updet udh gk bisa masuk, d hapus aplikasinya, trus download lagi, ekh malam lebih parah, mngkin saatnya ganti Lain aplikasi Yah..",3,2026-04-15 01:32:50
belanja puas harga pas,5,2026-04-15 01:32:19
aku suka banget,5,2026-04-15 01:32:10
sangat suka barang di shoppe murah2 juga,5,2026-04-15 01:28:35
"gk lagi gue pke apk shopee, ribet bgtt bnyak bgtt cacicu nyaa, mana saldo shopeepay gue mandet kga bisa keluar",2,2026-04-15 01:28:25
"lebih gampang berbelanja, diskon banyak, gratis ongkir ke semua pulau, memudahkan pembeli untuk berbelanja disela2 kesibukan, shopee mantap . semoga lebih berkembang lagi, lebih bnyk diskonnya lgi😅👍🏻👍🏻👍🏻👍🏻",5,2026-04-15 01:27:51
membantu berbelanja meski tidak ke toko,5,2026-04-15 01:27:29
saya pengguna shoppi sdh lama selalu puas...nah saat ini saya salah belanja barang yg harganya cukup lumayan buat saya...apa bisa dikembalika atau ditukar barang yg saya butuhkan...terima kasih...pembayaran melalui shoppi cash.,5,2026-04-15 01:27:01
"Trimksih sdh sngt membantu, tingkat kan kwalitas produk yg ori, juga ongkir gratis, dn potongan harga ya 👍👍👍👍",5,2026-04-15 01:24:38
oce,3,2026-04-15 01:24:27
mantap,5,2026-04-15 01:22:40
banyak barang tidak sesuai pesanan saya,1,2026-04-15 01:18:37
bagus,5,2026-04-15 01:14:53
oke,5,2026-04-15 01:13:19
good,5,2026-04-15 01:13:17
belanja online di shopee sangat memuaskan,5,2026-04-15 01:10:26
mantap,4,2026-04-15 01:10:04
"Kebijakan nyeleneh, jadi seller admin 20%. Jadi kurir ongkos nya gak masuk akal. 800rp per KM",1,2026-04-15 01:09:45
sekarang bintang yg berbicara mohon di pertahankan kwalitas pelayanannya klw bisa tingkatkan klw ada penurunan layanan dan tambah2 biaya lagi saya turunkan bintang nya,5,2026-04-15 01:08:55
"sejak ada shoope, buat aku yang introvert ini membantu banget sih jadi nggak harus keluar dan ketemu orang banyak buat beli barang, terus harganya murah murah dari pada beli langsung, pengiriman pun cepat sekali selalu ke shoope kalau lagi cari barang 🫰🏻🫰🏻",5,2026-04-15 01:08:07
Aplikasinya bagus. Tapi untuk pengirimannya sangat sangat buruk. Sebelum ada jasa pengiriman dari shoppe masih menggunakan jasa pengiriman J&T atau JNE aman aja paling lama 1 minggu nyampe. Sekarang semua di ambil alih oleh shoppe yg akhirnya pengiriman bisa 1 bulan lebih. Bahkan barang bisa di kembalikan ke penjual. Kalau gak mampu jangan menyanggupi untuk menyediakan jasa pengiriman. SERAKAH,1,2026-04-15 01:05:26
banyak barang scam,3,2026-04-15 01:02:04
sejauh ini belanja di shopee bagus cuman sebagian masih ada toko nya jual produk gak sesuai dengan pesanan,5,2026-04-15 00:59:52
pesanan barang bisa terpantau dengan muda,5,2026-04-15 00:58:34
ganggu banget iklannya lagi scroll tiba tiba muncul iklan shoope mana dipaksa masuk apk nya lagi,1,2026-04-15 00:55:31
aplikasi bagus,5,2026-04-15 00:54:58
santun,5,2026-04-15 00:53:04
"1. Tidak ada opsi untuk mematikan video. 2. Kalau lagi Search sering tiba2 diarahkan ke produk tertentu dan layar search saya langsung bubar (harus cari/ketik ulang). Kalau lagi bete karena dua hal diatas, biasanya langsung tutup aplikasi dan pindah ke marketplace lain.",3,2026-04-15 00:53:00
"ak suka bgt klo shoping di shopee karena selalu ,mengutamakan kepuasan bgi customer,dan ga pernah ngecewain,bahkan pengembalian dana secepat itu ,bener2 kepuasan pembeli diutamakan,penjual 2 yg nakal or tipu2 nga bakal bisa di shopee the best lah pokoe no1 in my heart",5,2026-04-15 00:52:36
bagus,5,2026-04-15 00:50:41
"pesanan saya kok dikembalikan, apk 💩 mending Tokopedia",1,2026-04-15 00:45:05
puas aj si,5,2026-04-15 00:42:18
shopee sangat penting untuk belanja online,5,2026-04-15 00:41:37
recomended pertahankan,5,2026-04-15 00:33:57
tolong perbaiki sering loading,4,2026-04-15 00:32:48
ok,5,2026-04-15 00:32:39
"Bagus , semoga pihak Shopee lebih tambah gercep utk pengiriman barangnya.",5,2026-04-15 00:31:51
realpict barang2 nya,5,2026-04-15 00:26:45
"ya, aplikasi buat belanja, banyak promo, pokonya aplikasi nya baguss. dan juga kadang ada event menarik dan games yang nantinya bisa ditukar sama koin shopee atau voucher promo.",5,2026-04-15 00:22:53
"Bagus banget Pokonya... saya suka, saya suka.. memudahkan berbelanja barang hingga barang yang sulit dicari, tapi disini tersedia.",5,2026-04-15 00:22:05
mantap,5,2026-04-15 00:21:29
Shoopee bagong.. tidak bisa menjinak kan pelanggan sangat Babi,1,2026-04-15 00:19:47
"Udah ga ada gratis ongkir lagi skrng mah,",5,2026-04-15 00:19:46
mantap belanja di shopee sangat memuaskan,5,2026-04-15 00:15:45
Selamat Pagi Aplikasi Shopee Indonesia 🙏 Telah Membantu Kemudahan Untuk Belanja Setiap Pengguna 🙏 Sukses Selalu Indonesia Lebih Maju 🙏❤🇲🇨,5,2026-04-15 00:14:24
oke bgt,5,2026-04-15 00:13:28
"shopee apk plerr, knp sih setiap buka website apapun pasti muncul si shopee kintil ini",1,2026-04-15 00:05:03
untuk saat ini saya belum ketemu kendala yg kurang memuaskan .semoga Seperi ini terus,5,2026-04-15 00:02:41
sangat baik dan membantu.meski Kadang ngeselin 🫰,5,2026-04-15 00:00:41
shopee sangat memuaskan,5,2026-04-14 23:58:27
bagus,5,2026-04-14 23:58:25
sangat membantu untuk belanja dgn mudah.,5,2026-04-14 23:56:59
sophee keren,5,2026-04-14 23:54:50
pesanan nya cepat dan barang nya bagus,5,2026-04-14 23:48:49
bagus banget apa aja ada semua di shopee dan sangat membantu,5,2026-04-14 23:48:16
Terimakasih banyak sangat bermanfaat 🫰🥰🥰,5,2026-04-14 23:46:07
barang lengkap&dikemas rapi. Sukses.,5,2026-04-14 23:43:26
sangat bagus,5,2026-04-14 23:40:00
"sangat kecewa udah 3 kali pakai spinjam nya, yg ke 3 nya kurang 4x pembayaran saya lunasi karna mau ambil lagi lg butuh duit kali. tapi setelah di lunasi malah gak bisa minjam lagi. sedang kan bayar ku slalu lancar. kadang kurang 2x pembayaran udah ku lunasi",1,2026-04-14 23:39:14
mantap...,5,2026-04-14 23:35:28
baik,5,2026-04-14 23:31:10
pengiriman lama sampe berhari hari. estimasi pengiriman ga sesuai berubah setiap harinya begitu terus sampe sebulan mau balik dana jadi terkendala estimasi pengiriman.padahal jarak deket,1,2026-04-14 23:30:22
boleh la,5,2026-04-14 23:30:00
banyak pilihan dan murah,5,2026-04-14 23:29:48
Lambattt,1,2026-04-14 23:28:27
ok,5,2026-04-14 23:26:41
baguss aku suka pisan,5,2026-04-14 23:22:48
ada apa dengan Shopee akhir akhir ini aket saya lebih dari 5 kali barang nya stuck dan juga hing pengiriman selalu melewati batas waktu estimasi,1,2026-04-14 23:21:48
"Min sdah 4 kali sy bolak balik shopee tda bisa masuk, pesanan sy segera tiba trus shopee gak bisa masuk akun google atau lainnya",3,2026-04-14 23:18:15
Mau pengembalian barang dan dana malah gak di jemput-jemput barangnya sampai waktu tunggu habis. Difollow up bolak-balik lewat CS gak ada hasil. INI CERITANYA SAYA DIPAKSA MENERIMA BARANG YANG TIDAK SESUAI APA BAGAIMANA?????,1,2026-04-14 23:10:51
Selalu tepat waktu dan kurirnya baik2,5,2026-04-14 23:10:17
"selalu membela penjual,barang rusak tidak layak pakai,kita pembeli tidak bisa mengajukan pengembalian,saat mengajukan selalu di tolak,padahal bukti sudah jelas,buat kalian,gak usah deh beli di sini lagi,biar tutup sekalian ini aplikasi,sangat merugikan pembeli.",1,2026-04-14 23:10:15
"kalau bisa, shopee food nya bisa pembayaran Qris soalnya jarang top up shopee seabank,mohon di update lagi min plisss..😅🙏",5,2026-04-14 23:08:52
bagus,5,2026-04-14 23:08:29
mantap,5,2026-04-14 23:07:44
sangat membantu,1,2026-04-14 23:07:10
jangan mau belanja online di Shopee banyak toko sampah yang menipu dan di kirim barang palsu barang juga tidak bisa di lakukan pengembalian sangat mengecewakan mending cari online shop yang lain,1,2026-04-14 23:05:11
bagus,5,2026-04-14 23:03:50
bagus,5,2026-04-14 23:03:28
harga barang stabil,5,2026-04-14 22:57:27
Sangat membantu,5,2026-04-14 22:56:33
baik,5,2026-04-14 22:49:24
"jangn apa apa iklan ke kau ya, buka wp ke kau teruz",1,2026-04-14 22:46:32
ok,5,2026-04-14 22:46:08
Keren banget,5,2026-04-14 22:41:10
terdepan dunia online,5,2026-04-14 22:39:51
"pengiriman dari batam ke bintan tanjung uban yang hanya seberang pulau tidak bisa tidak ada opsi pengiriman tersedia, tokopedia saja bisa lewat pos Indonesia 👎🏻",1,2026-04-14 22:39:05
banyak iklan mooonyeet,1,2026-04-14 22:38:44
good,5,2026-04-14 22:34:43
kereb,5,2026-04-14 22:32:56
aplikasi Shopee yang gampang untuk kita semua dalam berbelanja,5,2026-04-14 22:30:57
memudahkan saya untuk berbelanja sesuatu yang saya butuhkan,5,2026-04-14 22:29:04
terlalu banyak pop up muncul dan yang ngeselinya lagi tanda x untuk close lama banget ditekan.,1,2026-04-14 22:24:45
"saya mengaktifkan spaylater tapi kenapa selalu tidak bisa,selalu keluar tulisannya jaringan bermasalah",5,2026-04-14 22:20:50
"Shopee sekarang kenapa lama datang nya,pesanan belum nyampe dari 4 april",2,2026-04-14 22:19:12
top,5,2026-04-14 22:18:43
"Shopee tetap menjadi pemimpin pasar e-commerce di Indonesia, namun jualan di sini tidak lagi bisa sekadar ""pajang foto lalu tinggal."" Penjual dituntut untuk lebih aktif dalam interaksi digital dan sangat teliti dalam manajemen biaya agar tetap kompetitif di tengah ekosistem Shopee yang semakin terintegrasi.",4,2026-04-14 22:16:57
"pelayanan SPX nya menurutku kelewatan lamban, pengantaran pesanan barangku sering diundur undur, nggak jelas kenapa. Tiba tiba statusnya balik lagi disortir, padahal sebelumnya udah ada penugasan kurir bua pengantaran. Klaim Voucher keterlambatan juga absurd, masa klaimnya baru bisa setelah beberapa hari setelah keterlambatan barang dikirim. Paket ku padahal udah dibayar lunas, nggak COD. emang sekali ni aja pake Shopee, muak gua",1,2026-04-14 22:14:06
sangat membantu,5,2026-04-14 22:09:58
bagus,5,2026-04-14 22:01:26
luar biasa,5,2026-04-14 21:56:34
kenapa ya akun shopee ku bisa COD tapi saat pilih cod disuruh pilih pembayaran lain ..padahal akun baru dan baru gabung VIP,2,2026-04-14 21:51:46
pengalaman semenjak mengunakan shoppe aku jadi Sukak banget cek out dan banyak foucer diskon dan promo promo lain nya Sukak banget sangat bagus,5,2026-04-14 21:51:14
apk sangat membantu,5,2026-04-14 21:47:46
mantap,5,2026-04-14 21:45:47
bagus,5,2026-04-14 21:44:26
pelayanan konsumen cukup baik dan responsif,5,2026-04-14 21:42:22
lebih mudah belanja di shope,5,2026-04-14 21:37:47
baik sekali,5,2026-04-14 21:32:47
good,5,2026-04-14 21:28:02
awal awal mesan cepat sampai nya tapi makin kesini makin gak jelas kadang seminggu Baru sampai kadang 2 Minggu gila kalau gak niat jualan jangan jualan,1,2026-04-14 21:26:33
"pay leter saya sudah lunas saya bayar tapi tetap di beku kan saya kecewa, payah ni shophe",3,2026-04-14 21:21:31
mantap,5,2026-04-14 21:16:46
always gratis ongkir,5,2026-04-14 21:14:03
"setelah update jadi makin terasa berat, tampilan dibagian notifikasi jadi makin ribet, begitu dibuka langsung masuk live bukan nya masuk beranda, lebih suka versi yg lama.",4,2026-04-14 21:06:13
memuaskan,5,2026-04-14 21:03:06
"kenapa yaa shopee skg kalo lagi liat2 pas mau kembali ke halaman sebelumnya malah lgsg kembali ke beranda, padahal pgn liat halaman yg sebelumnya eh malah balik ke beranda terus, kesel jadinya mesti ngulang lagi sampe berkali2. padahal suka bgt belanja lewat shopee. tolong diperbaiki",3,2026-04-14 21:02:55
kok saya. gagal terus verifijasi wajah padahal waktu daftar pertama yg tuh makain ktp ini. suah. banget. lo klo ke gini,1,2026-04-14 20:52:17
👍,5,2026-04-14 20:34:43
Pengiriman lama sangat mengecewakan gk sperti toko2 yg lain,2,2026-04-14 20:30:43
jupri,5,2026-04-14 20:29:25
sangat membantu dan mempermudah kita dalam berbelanja.tinggal pilih CO nunggu di rumah sampai dech barang yg kita inginkan g perlu repot2 hrus keluar rumah.terimakasih shopee,5,2026-04-14 20:25:37
"buat transaksi selain di shopee nya langsung kurang bagus, masa di itemku udh bayar berkurang saldonya ttp gk ke keitung",5,2026-04-14 20:16:24
"tidak bisa digunakan berbelanja, setiap checkout selalu dibatalkan dengan alasan aktivitas tidak wajar. martket gila",1,2026-04-14 20:13:45
"saya kasih bintang 1, karna argo pengantaran barang sangat merugikan driver",1,2026-04-14 20:12:57
shopee mantab betul,5,2026-04-14 20:10:34
TOLONG MIN BANNED ATAU HAPUS AKUN PENJUAL YANG NAKAL ATAU MERUGIKAN BARANG TIDAK SESUAI KASIAN PEMBELI YANG TIDAK TAHU.,5,2026-04-14 19:59:56
"main ludo keluar iklan Shopee terus anj, ngeganggu banget bngst",1,2026-04-14 19:43:39
"aplikasi busuk , pengajuan banding lewat cs pelayanan tidak sopan sekali dan serasa acuh angkat tangan . prihal terkait unit yang tidak ada apa² tiba² terblokir dan tanpa banding apapun . seharusnya jika owner akun dan ponsel bisa memberi bukti yang sinkron pemblokiran ponsel itu bisa di hapus. sangat² kebijakan dan pelayanan yang busuk.",1,2026-04-14 19:38:39
"Lama2 makin suka dan cinta dengan Shopee. Karena disamping banyak pilihan barang dengan harga yang murah, fitur2nya pun istimewa dan rasa2nya tidak ada di aplikasi belanja online lain. Konsumen/pengguna pun sangat diperhatikan, terutama jika mengalami kendala baik pada saat pemesanan maupun ketika telah menerima barang. Terima kasih shopee, semoga menjadi aplikasi belanja online terbaik dinegeri ini.",5,2026-04-14 19:33:16
bnyk iklan,1,2026-04-14 19:32:48
pusing setiap buka apk lain selalu adaa iklan ini,1,2026-04-14 19:19:13
biar bintang yang bicara,5,2026-04-14 19:15:44
knp gbs di update,1,2026-04-14 19:14:53
Jelek baget aplikasinya Tapi boong😂,1,2026-04-14 18:52:27
IKLAN LU GANGGU SATTT DIMANA MANA ADA AJA IKLAN YANG AUTO BUKA SHOPEE GAJELAS,1,2026-04-14 18:45:56
"kebanyakan aplikasi lain yang di butuh in cuman buat fitur simpel kaya libur yang dari dulu ada di *hapus"" dari aplikasi Nye sendiri cuman buat di pindahin ke aplikasi ""seller"" jujur gak ada guna Nye",1,2026-04-14 18:44:46
saya sangat suka dengan aplikasi shopee,5,2026-04-14 18:41:40
sudah verifikasi terus sudah terverifikasi tapi masih gak bisa dasar gak jelas,1,2026-04-14 18:41:07
"mau beli token listrik aja susah banget anjir pemeliharaan lama banget ampe satu jam lebih, biasanya juga gak selama ini kocak, mana tengah malem banget listrik gua abis dari jam 11 malem ampe jam 1:37 nih masih belum bisa",1,2026-04-14 18:37:51
apaan biaya layanan 5k anjg,1,2026-04-14 18:36:09
josss,5,2026-04-14 18:29:12
Fitur COD ngga bisa. alasan Pernah menolak pesanan. Padahal saya tidak pernah menolak. Kurir saja yang tidak mau mengantarkan paket dengan alasan Paket menumpuk.,1,2026-04-14 18:28:43
ok,5,2026-04-14 18:27:50
Saya pelanggan setia shopee tetapi kenapa saya tidak bisa mendaftar shopee pay later..,5,2026-04-14 18:27:45
nice,5,2026-04-14 18:13:45
jossjiss jann pokoknyeee,5,2026-04-14 18:10:33
tapi🙏bisa jadi #htxplorx puri kedaton cek,4,2026-04-14 18:05:50
apk shoope ya sangat membantu dan bisa mempercepat pesana semoga maju terus apk shoope,5,2026-04-14 18:00:07
shopee,5,2026-04-14 17:51:31
"shopeevip nya eror ga bisa masuk, jadi kedip2",2,2026-04-14 17:46:55
"shopee,top markotop,jos gandos pokok e......👍👍👍👍👍❤️❤️❤️❤️❤️",5,2026-04-14 17:46:45
"males lama2,,masa paket di lokasi transit sampai 5 harian",3,2026-04-14 17:45:43
shopee terlalu memaksa untuk masuk ke aplikasi nya. iklan dimana mana menurut saya itu udah terlalu berlebihan,2,2026-04-14 17:45:04
"potongan penjual tinggi,pengiriman lama,barang hilang kopensasi jauh dari harga barang,PAYAHHHHH",1,2026-04-14 17:36:17
"terimakasih dengan adanya shopee belanja lebih mudah, lebih murah dan tidak capek.belanja dishopee jg menyenangkan beli apa aja pasti ada,sukses selalu ya shopee semoga kedepannya semakin jaya,Aamiin",5,2026-04-14 17:35:51
shopee indonesia selalu membikin masyarKat memudahkan membeli segala kebutuhan rumah tangga dengan mudah murah..semoga shopee selalu ada untuk rakyat indonesis,5,2026-04-14 17:33:09
sangat bagus,5,2026-04-14 17:32:45
suka nge lag,2,2026-04-14 17:32:20
"bagus sebenarnya, tapi ada kendala jadi gak bisa beli apapun dan gak bisa pake shopee pay dikarenakan ada orang yang tidak bertanggung jawab pake akun aku pas mengajukan banding udah lewat 30 hari gak bisa di apa apa in lagi",4,2026-04-14 17:28:44
mudah digunakan aplikasinya,5,2026-04-14 17:27:33
"aku benci iklan shoope, padahal gak buka shopee tapi tiba-tiba aja tu aplikasi terbuka😤😤",1,2026-04-14 17:25:03
sangat puas dgn sopi,5,2026-04-14 17:21:58
"Shopee Food Gajelas, Resto lama ga dibikinin sampe 1 Jam, dibatalin malah ga bisa pesen lagi akun Shopeenya. mending pindah Grab atau GO-JEK.",1,2026-04-14 17:12:19
"tolong dong benahi aturan nya, jujur saya resah dengan masalah yg mengunggah foto barang varian teratas tapi tapi harga yg ditampilkan ternyata untuk harga varian terbawah. jujur risih, niat nyari barang malah kena clickbait mulu, cape juga udah dapet harga yg sesuai ternyata harga barang buat varian barang yg lain",4,2026-04-14 17:10:55
sangat membantu dan memuaskan,5,2026-04-14 17:09:59
banyak banget iklan,4,2026-04-14 17:06:24
pesana selalu tepat waktu dan tidak lecet,5,2026-04-14 17:05:45
"tolong dong min kalau bikin voucher tuh yang bener masak semakin kesini dapat vouchernya makin susah, dulu voucher nya masih dikasih jeda waktu 2 menit. eh sekarang masak dikasih waktunya cuman 20 detik doang pikir dong min kasihan yg hpnya spek kentang udh terlanjur berharap bisa dapat voucher eh malah gk kebagian voucher sama sekali😭😭😔",5,2026-04-14 17:05:32
